date,product_id,category,quantity,price,promotion,discount,holiday,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_28,rolling_std_28,day_of_week,month,week_of_year,is_weekend
2023-01-29,P001,Electronics,98.0,30.79,0.0,0.0,0.0,176.0,220.0,164.0,176.0,124.42857142857143,59.38534371054063,122.35714285714286,47.69713286473813,109.39285714285714,44.95292952651554,6,1,4,1
2023-01-30,P001,Electronics,158.0,28.02,1.0,0.09,0.0,98.0,78.0,83.0,91.0,107.0,42.02776859807493,117.64285714285714,46.511548843531045,106.60714285714286,43.048929341626106,0,1,5,0
2023-01-31,P001,Electronics,67.0,30.79,0.0,0.0,0.0,158.0,60.0,126.0,86.0,118.42857142857143,43.672482346275146,123.0,46.53369333487955,109.0,44.00084174279026,1,1,5,0
2023-02-01,P001,Electronics,142.0,30.79,0.0,0.0,0.0,67.0,72.0,69.0,54.0,119.42857142857143,42.16577262368592,118.78571428571429,48.85485342621244,108.32142857142857,44.5122151952394,2,2,5,0
2023-02-02,P001,Electronics,196.0,30.79,0.0,0.0,0.0,142.0,123.0,107.0,51.0,129.42857142857142,37.030875148795964,124.0,46.99263444740772,111.46428571428571,43.63271126189033,3,2,5,0
2023-02-03,P001,Electronics,119.0,30.79,0.0,0.0,0.0,196.0,142.0,126.0,105.0,139.85714285714286,44.45382837442527,130.35714285714286,50.4115480403466,116.64285714285714,44.7802984835422,4,2,5,0
2023-02-04,P001,Electronics,177.0,30.79,0.0,0.0,0.0,119.0,176.0,167.0,29.0,136.57142857142858,45.114140956973955,129.85714285714286,50.49273693826154,117.14285714285714,44.72360739252881,5,2,5,1
2023-02-05,P001,Electronics,130.0,30.79,0.0,0.0,0.0,177.0,98.0,220.0,136.0,136.71428571428572,45.26114700901236,130.57142857142858,51.12535767896588,122.42857142857143,42.616662166104625,6,2,5,1
2023-02-06,P001,Electronics,50.0,30.79,0.0,0.0,0.0,130.0,158.0,78.0,79.0,141.28571428571428,42.21261377722022,124.14285714285714,44.20556376896314,122.21428571428571,42.56094292228336,0,2,6,0
2023-02-07,P001,Electronics,243.0,22.48,1.0,0.27,0.0,50.0,67.0,60.0,129.0,125.85714285714286,53.35237755223466,122.14285714285714,46.998947848873144,121.17857142857143,43.980680583072655,1,2,6,0
2023-02-08,P001,Electronics,74.0,30.79,0.0,0.0,0.0,243.0,142.0,72.0,80.0,151.0,61.79536120670116,135.21428571428572,53.39861503739667,125.25,49.64363746484277,2,2,6,0
2023-02-09,P001,Electronics,63.0,30.79,0.0,0.0,0.0,74.0,196.0,123.0,112.0,141.28571428571428,68.43418805858732,135.35714285714286,53.218861813714604,125.03571428571429,49.85867593646633,3,2,6,0
2023-02-10,P001,Electronics,167.0,30.79,0.0,0.0,0.0,63.0,119.0,142.0,84.0,122.28571428571429,69.17059656076005,131.07142857142858,56.59908165293887,123.28571428571429,51.1757010792464,4,2,6,0
2023-02-11,P001,Electronics,169.0,30.79,0.0,0.0,0.0,167.0,177.0,176.0,138.0,129.14285714285714,71.14170968667297,132.85714285714286,57.35967109504609,126.25,51.219661300165825,5,2,6,1
2023-02-12,P001,Electronics,174.0,30.79,0.0,0.0,0.0,169.0,130.0,98.0,164.0,128.0,70.30410135025316,132.35714285714286,56.983948000031795,127.35714285714286,51.81463706093688,6,2,6,1
2023-02-13,P001,Electronics,132.0,27.1,1.0,0.12,0.0,174.0,50.0,158.0,83.0,134.28571428571428,72.44702498081912,137.78571428571428,57.079133424811815,127.71428571428571,52.11018038225256,0,2,7,0
2023-02-14,P001,Electronics,107.0,30.79,0.0,0.0,0.0,132.0,243.0,67.0,126.0,146.0,62.492666236393966,135.92857142857142,56.79309855920911,129.46428571428572,51.37046430756299,1,2,7,0
2023-02-15,P001,Electronics,145.0,30.79,0.0,0.0,0.0,107.0,74.0,142.0,69.0,126.57142857142857,46.37117331150589,138.78571428571428,53.99598072140121,128.78571428571428,51.54311905281948,2,2,7,0
2023-02-16,P001,Electronics,112.0,30.79,0.0,0.0,0.0,145.0,63.0,196.0,107.0,136.71428571428572,40.3266424989497,139.0,54.01566724286857,131.5,50.263380381818806,3,2,7,0
2023-02-17,P001,Electronics,132.0,30.79,0.0,0.0,0.0,112.0,167.0,119.0,126.0,143.71428571428572,27.66293721277796,133.0,51.81772788416065,131.67857142857142,50.18193091617928,4,2,7,0
2023-02-18,P001,Electronics,238.0,23.71,1.0,0.23,0.0,132.0,169.0,177.0,167.0,138.71428571428572,25.85674822114005,133.92857142857142,51.663801173049094,131.89285714285714,50.169593333393635,5,2,7,1
2023-02-19,P001,Electronics,145.0,30.79,0.0,0.0,0.0,238.0,174.0,130.0,220.0,148.57142857142858,45.224835149348124,138.28571428571428,57.78531696843804,134.42857142857142,53.681108182128426,6,2,7,1
2023-02-20,P001,Electronics,67.0,30.79,0.0,0.0,0.0,145.0,132.0,50.0,78.0,144.42857142857142,43.81345738034203,139.35714285714286,57.758924908566314,131.75,51.06033105462015,0,2,8,0
2023-02-21,P001,Electronics,48.0,30.79,0.0,0.0,0.0,67.0,107.0,243.0,60.0,135.14285714285714,52.843885081210594,140.57142857142858,55.88410299032241,131.35714285714286,51.52936184618563,1,2,8,0
2023-02-22,P001,Electronics,107.0,30.79,0.0,0.0,0.0,48.0,145.0,74.0,72.0,126.71428571428571,61.993855302264414,126.64285714285714,52.5951257508455,130.92857142857142,52.19048343181504,2,2,8,0
