date,product_id,category,quantity,price,promotion,discount,store,region,holiday
2023-01-01,P001,Electronics,176,30.79,0,0.0,STORE_5,South,1
2023-01-02,P001,Electronics,91,30.79,0,0.0,STORE_3,North,0
2023-01-03,P001,Electronics,86,30.79,0,0.0,STORE_2,East,0
2023-01-04,P001,Electronics,54,30.79,0,0.0,STORE_3,South,0
2023-01-05,P001,Electronics,51,30.79,0,0.0,STORE_5,North,0
2023-01-06,P001,Electronics,105,30.79,0,0.0,STORE_1,South,0
2023-01-07,P001,Electronics,29,30.79,0,0.0,STORE_5,West,0
2023-01-08,P001,Electronics,136,30.79,0,0.0,STORE_3,North,0
2023-01-09,P001,Electronics,79,30.79,0,0.0,STORE_5,South,0
2023-01-10,P001,Electronics,129,30.79,0,0.0,STORE_4,East,0
2023-01-11,P001,Electronics,80,30.79,0,0.0,STORE_4,North,0
2023-01-12,P001,Electronics,112,30.79,0,0.0,STORE_5,North,0
2023-01-13,P001,Electronics,84,30.79,0,0.0,STORE_1,West,0
2023-01-14,P001,Electronics,138,30.79,0,0.0,STORE_3,East,0
2023-01-15,P001,Electronics,164,30.79,0,0.0,STORE_1,North,0
2023-01-16,P001,Electronics,83,30.79,0,0.0,STORE_2,North,0
2023-01-17,P001,Electronics,126,30.79,0,0.0,STORE_1,South,0
2023-01-18,P001,Electronics,69,30.79,0,0.0,STORE_4,East,0
2023-01-19,P001,Electronics,107,30.79,0,0.0,STORE_4,East,0
2023-01-20,P001,Electronics,126,30.79,0,0.0,STORE_4,North,0
2023-01-21,P001,Electronics,167,30.79,0,0.0,STORE_1,East,0
2023-01-22,P001,Electronics,220,30.79,0,0.0,STORE_2,West,0
2023-01-23,P001,Electronics,78,30.79,0,0.0,STORE_4,North,0
2023-01-24,P001,Electronics,60,30.79,0,0.0,STORE_5,North,0
2023-01-25,P001,Electronics,72,30.79,0,0.0,STORE_5,West,0
2023-01-26,P001,Electronics,123,30.79,0,0.0,STORE_1,East,0
2023-01-27,P001,Electronics,142,28.33,1,0.08,STORE_3,West,0
2023-01-28,P001,Electronics,176,28.63,1,0.07,STORE_1,South,0
2023-01-29,P001,Electronics,98,30.79,0,0.0,STORE_5,South,0
2023-01-30,P001,Electronics,158,28.02,1,0.09,STORE_1,North,0
2023-01-31,P001,Electronics,67,30.79,0,0.0,STORE_5,North,0
2023-02-01,P001,Electronics,142,30.79,0,0.0,STORE_1,South,0
2023-02-02,P001,Electronics,196,30.79,0,0.0,STORE_1,North,0
2023-02-03,P001,Electronics,119,30.79,0,0.0,STORE_5,West,0
2023-02-04,P001,Electronics,177,30.79,0,0.0,STORE_3,East,0
2023-02-05,P001,Electronics,130,30.79,0,0.0,STORE_3,West,0
2023-02-06,P001,Electronics,50,30.79,0,0.0,STORE_4,East,0
2023-02-07,P001,Electronics,243,22.48,1,0.27,STORE_2,South,0
2023-02-08,P001,Electronics,74,30.79,0,0.0,STORE_4,East,0
2023-02-09,P001,Electronics,63,30.79,0,0.0,STORE_3,North,0
2023-02-10,P001,Electronics,167,30.79,0,0.0,STORE_2,West,0
2023-02-11,P001,Electronics,169,30.79,0,0.0,STORE_2,East,0
2023-02-12,P001,Electronics,174,30.79,0,0.0,STORE_1,North,0
2023-02-13,P001,Electronics,132,27.1,1,0.12,STORE_2,East,0
2023-02-14,P001,Electronics,107,30.79,0,0.0,STORE_3,East,0
2023-02-15,P001,Electronics,145,30.79,0,0.0,STORE_1,North,0
2023-02-16,P001,Electronics,112,30.79,0,0.0,STORE_1,North,0
2023-02-17,P001,Electronics,132,30.79,0,0.0,STORE_4,West,0
2023-02-18,P001,Electronics,238,23.71,1,0.23,STORE_3,South,0
2023-02-19,P001,Electronics,145,30.79,0,0.0,STORE_1,East,0
2023-02-20,P001,Electronics,67,30.79,0,0.0,STORE_4,North,0
2023-02-21,P001,Electronics,48,30.79,0,0.0,STORE_4,East,0
2023-02-22,P001,Electronics,107,30.79,0,0.0,STORE_1,North,0
2023-02-23,P001,Electronics,118,30.79,0,0.0,STORE_2,South,0
2023-02-24,P001,Electronics,72,30.79,0,0.0,STORE_2,East,0
2023-02-25,P001,Electronics,163,30.79,0,0.0,STORE_4,South,0
2023-02-26,P001,Electronics,167,30.79,0,0.0,STORE_1,East,0
2023-02-27,P001,Electronics,43,30.79,0,0.0,STORE_5,North,0
2023-02-28,P001,Electronics,86,30.79,0,0.0,STORE_2,South,0
2023-03-01,P001,Electronics,133,30.79,0,0.0,STORE_1,West,0
2023-03-02,P001,Electronics,132,30.79,0,0.0,STORE_5,South,0
