date,product_id,category,quantity,price,promotion,discount,store,region,holiday
2024-04-30,P003,Apparel,129.0,142.21,0,0.0,STORE_5,West,0
2023-02-01,P030,Sports,35.0,223.79,0,0.0,STORE_2,North,0
2023-03-25,P012,Home & Kitchen,118.0,59.93,0,0.0,STORE_3,North,0
2023-10-29,P006,Electronics,86.0,121.63,0,0.0,STORE_2,South,0
2024-07-16,P007,Home & Kitchen,22.0,113.79,0,0.0,STORE_1,South,0
2025-02-13,P021,Electronics,42.0,18.07,0,0.0,STORE_4,North,0
2025-06-13,P021,Electronics,89.0,18.07,0,0.0,STORE_2,South,0
2024-05-26,P014,Beauty,127.0,204.99,0,0.0,STORE_1,North,0
2024-03-23,P006,Electronics,250.0,121.63,0,0.0,STORE_4,South,0
2024-03-16,P038,Apparel,58.0,161.42,0,0.0,STORE_1,South,0
2025-04-12,P037,Home & Kitchen,48.0,168.41,0,0.0,STORE_5,North,0
2023-12-30,P033,Apparel,58.0,153.05,0,0.0,STORE_5,West,0
2024-05-31,P008,Apparel,115.0,101.77,0,0.0,STORE_1,South,0
2024-09-19,P038,Apparel,38.0,161.42,0,0.0,STORE_3,North,0
2024-01-22,P038,Apparel,42.0,161.42,0,0.0,STORE_2,North,0
2024-04-16,P011,Electronics,143.0,161.6,0,0.0,STORE_1,North,0
2023-06-12,P019,Beauty,18.0,82.04,0,0.0,STORE_4,North,0
2024-01-01,P026,Electronics,185.0,34.28,0,0.0,STORE_3,South,1
2023-01-31,P008,Apparel,83.0,101.77,0,0.0,STORE_1,South,0
2024-09-09,P013,Apparel,46.0,79.05,0,0.0,STORE_4,North,0
2023-10-29,P031,Electronics,71.0,194.83,0,0.0,STORE_4,West,0
2024-10-14,P028,Apparel,12.0,208.81,0,0.0,STORE_1,East,0
2024-07-12,P040,Sports,46.0,208.72,0,0.0,STORE_3,East,0
2024-08-28,P010,Sports,57.0,41.83,0,0.0,STORE_3,North,0
2024-11-08,P033,Apparel,32.0,125.5,1,0.18,STORE_2,North,0
2025-04-01,P009,Beauty,128.0,198.44,0,0.0,STORE_2,North,0
2023-01-04,P025,Sports,66.0,114.22,0,0.0,STORE_1,West,0
2024-12-05,P036,Electronics,56.0,181.13,0,0.0,STORE_2,South,0
2023-05-19,P027,Home & Kitchen,67.0,34.07,0,0.0,STORE_2,West,0
