MAE,RMSE,sMAPE_%,fold,model
15.565,24.482,29.6,1,Seasonal Naive
11.157,16.758,24.21,1,Ridge Regression
10.504,16.381,20.77,1,Random Forest
10.512,16.267,21.44,1,Gradient Boosting
20.823,32.55,32.06,2,Seasonal Naive
14.45,21.859,24.37,2,Ridge Regression
13.434,20.753,21.16,2,Random Forest
13.245,20.44,20.93,2,Gradient Boosting
23.515,37.513,28.54,3,Seasonal Naive
15.989,24.352,20.31,3,Ridge Regression
15.507,23.559,19.35,3,Random Forest
15.489,23.477,19.37,3,Gradient Boosting
24.053,35.231,27.87,4,Seasonal Naive
17.048,24.585,20.06,4,Ridge Regression
16.771,24.169,19.61,4,Random Forest
16.796,24.164,19.64,4,Gradient Boosting
