product_id,MAE,RMSE,sMAPE_%,avg_demand
P004,33.142,42.843,23.89,143.15
P024,31.818,41.857,24.42,140.7
P001,31.384,42.13,32.69,105.13333333333334
P026,26.911,35.796,21.84,125.98333333333333
P002,26.09,31.72,24.91,109.05
P005,23.619,31.199,21.05,116.81666666666666
P011,22.827,29.888,16.42,138.25
P031,22.549,28.461,15.61,144.35
P009,22.518,28.704,21.81,106.61666666666666
P029,19.729,25.306,23.83,85.28333333333333
P013,19.713,25.087,19.05,102.23333333333333
P036,19.287,26.856,21.73,87.0
P008,19.273,23.712,14.39,137.53333333333333
P022,18.955,25.025,23.69,77.88333333333334
P033,18.414,23.943,26.93,74.6
P018,17.193,24.301,22.32,87.5
P027,16.88,21.7,24.66,70.36666666666666
P006,16.763,24.197,14.65,109.1
P003,16.071,21.234,12.18,127.53333333333333
P021,16.053,20.399,18.55,86.91666666666667
P040,15.162,17.563,23.69,66.95
P010,14.381,17.368,13.08,109.51666666666667
P012,14.097,19.592,13.3,102.21666666666667
P023,14.017,18.578,21.05,70.15
P014,12.31,15.163,11.99,104.96666666666667
P016,11.393,14.881,21.28,54.38333333333333
P039,10.425,13.898,19.24,53.2
P032,10.298,12.862,12.22,85.2
P028,10.228,12.923,29.26,36.666666666666664
P035,9.628,13.396,18.85,53.43333333333333
P037,9.228,11.869,30.94,32.35
P025,9.081,12.608,9.9,89.16666666666667
P019,8.621,15.61,23.25,34.2
P017,8.443,12.101,19.91,41.63333333333333
P007,7.682,16.261,24.08,28.533333333333335
P030,7.525,9.365,20.13,38.61666666666667
P038,6.764,11.648,13.44,46.43333333333333
P020,4.969,7.261,24.7,19.933333333333334
P034,4.768,5.72,13.81,34.61666666666667
P015,3.316,4.334,13.28,23.95
