avg_inventory,stockout_days,cycle_service_level_%,lost_units,total_units_ordered,avg_daily_forecast,protection_period_days,reorder_point,target_level,safety_stock,product_id,oof_error_std,oof_rows
552.3763471570445,1,98.33,75.9,5899.1,102.65,10,1188.1,1188.1,161.7,P001,30.98096379463303,240
578.3576970163053,0,100.0,0.0,6172.0,104.9,10,1223.6,1223.6,174.6,P002,33.46094220074016,240
609.8794046012943,0,100.0,0.0,7242.0,122.67,10,1357.2,1357.2,130.5,P003,25.0188142417967,240
699.2413930156617,1,98.33,3.4,8200.6,135.62,10,1542.6,1542.6,186.4,P004,35.7149321709728,240
589.9985610192532,0,100.0,0.0,6639.0,111.39,10,1266.1,1266.1,152.2,P005,29.17025973783937,240
487.23562442633,0,100.0,0.0,6254.0,105.52,10,1141.8,1141.8,86.5,P006,16.587522688815195,240
139.18444839490832,3,95.0,60.8,1564.2,26.81,10,306.2,306.2,38.1,P007,7.297271541074243,240
583.6938644868604,2,96.67,81.9,7816.1,131.79,10,1424.1,1424.1,106.2,P008,20.35262942272522,240
523.9895748777251,0,100.0,0.0,6137.0,101.11,10,1161.1,1161.1,150.0,P009,28.744940691705768,240
540.8756354952657,0,100.0,0.0,6253.0,107.08,10,1183.8,1183.8,113.0,P010,21.6552631828516,240
626.4976914266432,1,98.33,149.1,7747.9,129.26,10,1454.9,1454.9,162.3,P011,31.105245508699607,240
512.2468056177269,0,100.0,0.0,5814.0,100.87,10,1117.6,1117.6,108.9,P012,20.86530303968496,240
564.3902689360804,0,100.0,0.0,5845.0,101.92,10,1174.0,1174.0,154.8,P013,29.675083235472044,240
542.0233337519098,1,98.33,57.0,5965.0,107.24,10,1146.0,1146.0,73.7,P014,14.116508971390557,240
133.53321745095545,0,100.0,0.0,1373.0,23.67,10,276.0,276.0,39.4,P015,7.541847721453443,240
310.79168745185683,0,100.0,0.0,3097.0,56.47,10,633.9,633.9,69.2,P016,13.270595581085496,240
205.44480491464546,0,100.0,0.0,2371.0,40.93,10,468.1,468.1,58.8,P017,11.271076302843104,240
470.19833094455737,1,98.33,14.9,4995.1,91.28,10,999.1,999.1,86.2,P018,16.52544647305118,240
211.66979657794874,2,96.67,45.6,1898.4,34.56,10,400.4,400.4,54.8,P019,10.502267732765807,240
154.57820297774336,0,100.0,0.0,1138.0,22.08,10,274.4,274.4,53.7,P020,10.29062667669514,240
472.9940557118295,0,100.0,0.0,4891.0,85.99,10,975.7,975.7,115.9,P021,22.208084100592476,240
365.6775671934525,2,96.67,66.7,4385.3,73.48,10,829.2,829.2,94.3,P022,18.079240309471995,240
410.1993144874848,0,100.0,0.0,4102.0,72.9,10,820.9,820.9,91.9,P023,17.607857965075166,240
659.4128399649179,0,100.0,0.0,8005.0,133.05,10,1492.6,1492.6,162.1,P024,31.070039767417594,240
460.33295459568524,0,100.0,0.0,5050.0,90.15,10,988.2,988.2,86.7,P025,16.6251247330455,240
555.3851775515432,1,98.33,50.2,7163.8,117.52,10,1314.8,1314.8,139.6,P026,26.76268459209602,240
392.87250581878675,0,100.0,0.0,4024.0,71.8,10,819.9,819.9,101.9,P027,19.536590055217047,240
235.37080411816925,0,100.0,0.0,2080.0,37.89,10,451.8,451.8,72.9,P028,13.969966929850669,240
507.2232611390807,0,100.0,0.0,4844.0,87.36,10,1010.0,1010.0,136.4,P029,26.140103381777763,240
246.79929126822807,0,100.0,0.0,2208.0,39.37,10,485.7,485.7,92.0,P030,17.623246423272583,240
655.0238578631705,1,98.33,67.9,8135.1,133.27,10,1494.1,1494.1,161.5,P031,30.945068231198658,240
440.37078255767454,0,100.0,0.0,4867.0,86.64,10,941.3,941.3,74.9,P032,14.355496173002507,240
385.51043265291196,1,98.33,26.0,4194.0,70.89,10,816.0,816.0,107.1,P033,20.53337591176773,240
182.98761522631514,0,100.0,0.0,1980.0,36.0,10,395.0,395.0,35.1,P034,6.720928240615928,240
264.0167777163417,1,98.33,0.2,3048.8,53.17,10,587.8,587.8,56.1,P035,10.757279147785539,240
461.0249275411092,0,100.0,0.0,4885.0,86.24,10,988.8,988.8,126.5,P036,24.23908850978253,240
214.69009377295336,0,100.0,0.0,1840.0,33.18,10,405.6,405.6,73.8,P037,14.143677177186717,240
206.9213968932846,0,100.0,0.0,2635.0,44.9,10,486.0,486.0,36.9,P038,7.0741749359798085,240
325.50700835049696,0,100.0,0.0,3030.0,56.88,10,637.9,637.9,69.1,P039,13.235780195583885,240
362.5326900402989,0,100.0,0.0,3838.0,65.46,10,761.1,761.1,106.4,P040,20.399374788999893,240
